Activity_Type,Movement_Speed_ms,Crowd_Density,Temperature_C,Pilgrim_Age_Group,Pilgrim_Experience,Time_of_Day,Time_Spent_min,Pilgrim_Group_Size,Phone_Battery_Pct,Risk_Level
Prayer,0.017,Medium,50.1,40_to_60,First-Time,Fajr,14.7,26,50,Medium
Resting,0.098,Low,46.5,Under_40,First-Time,Maghrib,46.0,43,43,Medium
Walking,0.549,Low,44.6,Under_40,Experienced,Maghrib,24.4,20,72,Low
Walking,1.123,High,44.4,Under_40,First-Time,Night,18.7,8,93,Low
Sai,0.939,Medium,43.3,Above_60,First-Time,Morning,59.9,50,96,Low
Sai,1.33,High,34.9,Above_60,First-Time,Afternoon,71.9,50,53,Low
Tawaf,0.475,High,40.1,Under_40,First-Time,Maghrib,77.3,19,76,Medium
Resting,0.142,High,45.3,40_to_60,Experienced,Morning,79.1,21,10,Medium
Walking,0.704,Medium,38.6,40_to_60,Experienced,Maghrib,6.8,35,95,Low
Walking,0.988,High,42.6,Under_40,First-Time,Morning,11.0,43,45,Low
Tawaf,0.722,High,46.6,40_to_60,First-Time,Morning,47.2,35,50,Medium
Resting,0.086,Medium,46.7,Above_60,First-Time,Night,53.1,39,49,Medium
Resting,0.073,High,45.7,Above_60,First-Time,Noon,17.6,26,74,High
Sai,1.277,High,43.1,40_to_60,Experienced,Afternoon,78.5,26,13,Low
Sai,0.937,Low,45.2,Under_40,First-Time,Noon,66.2,7,64,Medium
Sai,1.248,Medium,41.0,40_to_60,Experienced,Fajr,85.3,22,44,Low
Prayer,0.009,Low,48.8,Above_60,First-Time,Night,20.4,30,73,Medium
Walking,0.934,High,35.6,Under_40,Experienced,Morning,29.7,39,31,Low
Prayer,0.051,Low,42.3,40_to_60,First-Time,Morning,24.0,28,44,Low
Prayer,0.011,High,40.1,40_to_60,Experienced,Noon,27.7,30,5,Medium
Walking,0.954,Medium,44.7,40_to_60,Experienced,Afternoon,29.3,40,87,Low
Tawaf,0.523,Medium,40.6,40_to_60,First-Time,Morning,58.3,25,67,Low
Prayer,0.022,High,51.7,Under_40,Experienced,Afternoon,22.7,11,52,High
Prayer,0.035,High,45.7,Above_60,Experienced,Afternoon,28.3,9,40,High
Prayer,0.049,High,38.0,Under_40,First-Time,Noon,21.5,35,92,Medium
Walking,0.564,Low,32.0,40_to_60,First-Time,Afternoon,6.3,19,50,Low
Sai,1.47,Medium,37.4,Above_60,First-Time,Afternoon,76.4,6,5,Medium
Walking,0.966,Medium,44.2,Above_60,First-Time,Maghrib,28.4,22,71,Medium
Walking,0.572,Medium,40.9,40_to_60,First-Time,Night,24.5,14,92,Low
Tawaf,0.711,High,39.7,40_to_60,First-Time,Night,77.5,50,93,Medium
Walking,0.726,Medium,39.1,40_to_60,Experienced,Fajr,7.0,6,82,Low
Sai,1.218,Medium,45.3,40_to_60,Experienced,Noon,78.2,14,92,Medium
Tawaf,0.439,High,40.7,Above_60,First-Time,Afternoon,31.9,44,94,Medium
Resting,0.22,Medium,40.3,Under_40,First-Time,Morning,112.7,16,79,Low
Resting,0.217,High,46.0,Above_60,Experienced,Night,111.0,26,7,Medium
Walking,0.886,Medium,48.2,Under_40,First-Time,Fajr,29.5,45,24,Medium
Prayer,0.024,High,37.5,40_to_60,Experienced,Noon,16.1,25,77,Medium
Tawaf,0.427,High,46.7,40_to_60,First-Time,Morning,62.4,32,60,High
Walking,0.768,Medium,41.6,40_to_60,Experienced,Afternoon,19.5,7,24,Low
Prayer,0.015,Low,45.7,40_to_60,First-Time,Maghrib,21.1,41,63,Medium
Tawaf,0.469,High,44.6,40_to_60,Experienced,Night,54.7,46,12,Medium
Walking,0.979,Medium,42.1,40_to_60,First-Time,Noon,29.7,32,64,Medium
Tawaf,0.715,High,42.2,40_to_60,First-Time,Maghrib,83.2,9,24,Medium
Resting,0.1,Medium,44.7,Under_40,First-Time,Afternoon,79.1,9,85,Medium
Sai,0.964,Medium,37.6,40_to_60,First-Time,Maghrib,74.1,13,15,Low
Walking,1.083,Low,37.4,40_to_60,First-Time,Fajr,22.9,28,17,Low
Prayer,0.089,Medium,50.3,Above_60,First-Time,Noon,22.1,41,74,High
Walking,0.787,High,46.7,Under_40,First-Time,Morning,22.7,35,6,Medium
Walking,0.519,High,46.0,40_to_60,Experienced,Maghrib,25.4,18,26,Low
Sai,1.286,Low,41.4,40_to_60,First-Time,Morning,89.0,45,50,Low
Resting,0.235,Low,35.4,40_to_60,Experienced,Fajr,104.2,31,29,Low
Walking,0.513,Medium,39.9,40_to_60,First-Time,Night,8.2,25,40,Low
Resting,0.179,Medium,43.6,40_to_60,First-Time,Afternoon,72.4,27,50,Low
